ID,claim
26,Được biết hiện nay tại Việt Nam với lực lượng rất lớn lao động trẻ có nhu cầu việc làm.
27,Tôi có thời gian qua Mỹ khá lâu.
27,"Ngoài một số ít tòa nhà chọc trời tại các thành phố lớn, tôi dám chắc bạn rất ít gặp những công trình bê tông ở nước Mỹ."
27,Nhà của người Mỹ thường làm bằng gỗ và vài thứ vật liệu nhẹ khác.
27,"Hồi mới tới Mỹ, tôi thuê một xe chở hành lý giá 3 đô la."
27,Nhưng tôi lại không có tiền lẻ.
27,Lôi Phong là một thanh niên mà thời Mao thường nhắc tới như một tấm gương về đạo đức.
27,Hồi đó người ta chuộng lối sống đạo đức giả nhưng bây giờ chúng ta không như vậy nữa.
27,"Người Mỹ vẫn sống cùng những con thú hoang dã đó, thậm chí còn đưa ra những biện pháp để bảo vệ chúng."
27,Các nghiên cứu sinh sau tiến sĩ cũng không bao giờ ghi hai chữ Ph.D.
27,lên danh thiếp của mình như ở nước ta.
27,Họ thậm chí cũng không biết cách thể hiện vị thế của mình.
27,Các em không có bài tập về nhà.
27,"Trường học ở Mỹ chú trọng đến đạo đức, trước hết để giúp cho các đứa trẻ trở thành những công dân có đủ tư cách, sau đó mới tính đến chuyện lý tưởng lâu dài."
27,"Đầu tiên họ đi bác sĩ khám bệnh, rồi bác sĩ kê toa."
27,Lối sống Người Mỹ chả có khái niệm về thời gian.
27,"Có tới 95 nhân viên người Mỹ không nghĩ tới việc phải làm gì cho tiệc cưới của sếp hoặc của con cái sếp, họ chẳng bao giờ phải vắt óc tìm ra lý do để chăm sóc sếp của mình."
28,"Vậy nên, cho đến ngày hôm nay nó vẫn còn tồn tại ở khu vực này."
28,"Sự việc trôi qua 16 năm, cậu con trai thứ hai của ông Lâm giờ đây đang theo học ở một trường thương nghiệp tại Đài Bắc, trong dịp nghỉ lễ cậu tranh thủ về thăm nhà."
28,"Hơn 100 hành khách trên tàu, thì có đến 90 người bị dòng nước nhấn chìm."
28,"Đột nhiên anh cảm thấy cơ thể mình như được đẩy lên bởi một vật giống như chiếc bàn tròn lớn, nhìn kỹ, hóa ra anh đang nằm trên lưng một con rùa, sau đó nhìn kĩ hơn, anh thấy miệng của nó to như một chậu rửa mặt."
28,Anh hoảng sợ và thầm nghĩ chẳng lẽ mình phải chôn thân trong bụng con rùa này.
28,"Mệt nhoài nằm trên lưng rùa một thời gian rất lâu, khi tỉnh táo nhìn xuống, đột nhiên anh thấy trên lưng con rùa viết 5 chữ gặp duyên số phóng sinh."
28,"Anh mới chợt nhớ, con rùa biển này chính là con rùa mà cha anh đã từng cứu mạng."
28,"Trong lòng anh chuyển từ sợ hãi thành niềm vui, hóa ra chú rùa chính là đến cứu mình."
29,Các nhà nghiên cứu đã đem chú cá heo Bailey cách ly khỏi cô bạn gái Alice trong khoảng thời gian hơn 20 năm.
29,"Tuy nhiên, sau khoảng thời gian dài xa cách như thế, Bailey vẫn nhận ra tín hiệu của Alice sau khi các nhà khoa học truyền lại những tín hiệu đó qua loa phóng thanh."
29,"Loài này được ghi nhận có trí nhớ lâu giống như con người, và sử dụng trí nhớ để giải quyết những nhiệm vụ sinh tồn."
29,"Chúng có khả năng học các kỹ năng phức tạp, chẳng hạn như cưa gỗ hoặc dùng búa và đinh để đóng mọi thứ lại với nhau."
29,"Ví dụ, loài này có khả năng nhận ra sự thiếu hụt nhanh chóng khi một con cừu trong đàn bị mất tích."
29,Các nhà nghiên cứu đã thử chắn đường đi của chú mèo bằng một vật cản.
29,"Sau khi mèo đã vấp phải vật này bằng chân trước, họ nhanh chóng bỏ vật cản đi và khiến chú mèo mất tập trung, không nhận ra vật cản đã biến mất."
29,"Kết quả là sau 10 phút, khi đi con mèo vẫn nhấc chân sau lên như phản xạ để tránh vật cản mà nó nhớ rằng mười phút trước còn có ở đó."
30,"Tuy nhiên, đừng ăn vào buổi tối vì hột vịt có tính hàn sẽ không tốt cho cơ thể."
30,Chất cafein được tìm thấy trong sôcôla đóng vai trò quan trọng trong việc bảo vệ não trước nguy cơ bị oxy hóa.
30,"Quả óc chó Nhìn bề ngoài, quả óc chó trông giống như một bộ não được thu nhỏ."
31,"Su hào được tạo ra từ quá trình chọn lọc nhân tạo để lấy phần tăng trưởng của mô phân sinh ở thân, mà trong đời thường được gọi là củ."
31,Nguồn gốc tự nhiên của nó là cải bắp dại.
31,"Hai thứ giã nhỏ, thêm nước, vắt lấy nước cốt uống."
32,Tối nay thánh nào lập đàn cầu mưa điểm danh.
34,Đây chính là bức ảnh có vấn đề của Ngọc Trinh.
36,"Trước khi lên máy bay, Nhật Kim Anh đã cảm thấy người mệt mỏi vì cảm sốt."
36,"Tuy vậy, nữ ca sĩ chỉ nghĩ đó là cảm sốt bình thường."
36,"Ngay khi máy bay đáp xuống sân bay Tân Sơn Nhất, Nhật Kim Anh vẫn bị sốt co giật nên phải nhập viện khẩn cấp tại một bệnh viện ở quận Phú Nhuận."
36,"Hiện tại, bác sĩ chỉ định Nhật Kim Anh sẽ phải nằm viện 23 ngày để hồi phục sức khỏe do thể trạng cô còn khá yếu."
36,Nói tôi bỏ vào túi phòng khi chóng mặt nữa.
36,Nữ ca sĩ chia sẻ nỗi sợ sau khi thoát khỏi lưỡi hái tử thần Kẹo chính là thứ thần dược đã cứu Nhật Kim Anh thoát chết trên máy bay vì vậy cô khuyên mọi người phải mang theo kẹo bên mình để đề phòng gặp trường hợp tụt huyết áp như cô.
37,"Bởi vậy, tất thảy ai cũng đều choáng khi hình ảnh nữ ca sĩ lộ hình xăm trên cơ thể."
